fon_kodu;fon_adi;kanal;islem_tipi;tarih;pay_sayisi;fiyat
HVK;HEDEF PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU;YKB;ALIM;2024-11-29;10986,0;2.730688
AN1;STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON;YKB;ALIM;2024-12-06;173,0;63.477202
BGP;AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU;YKB;SATIM;2024-12-10;1090,0;3.237644
BGP;AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU;YKB;ALIM;2024-12-10;2162,0;3.237644
IVY;İSTANBUL PORTFÖY BLOCKCHAIN TEKNOLOJİLERİ DEĞİŞKEN FON;YKB;ALIM;2024-12-11;1023,0;3.518197
TCD;TACİRLER PORTFÖY DEĞIŞKEN FON;VKF;SATIM;2024-12-12;100,0;32.354002
BGP;AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU;YKB;ALIM;2024-12-13;769,0;3.250881
PPN;NUROL PORTFÖY PARA PİYASASI (TL) FONU;YKB;ALIM;2024-12-16;19676,0;2.846035
BGP;AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU;YKB;SATIM;2024-12-19;3051,0;3.276997
AN1;STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON;YKB;ALIM;2024-12-25;157,0;63.492575
YKT;YAPI KREDİ PORTFÖY ALTIN FONU;YKB;SATIM;2025-01-08;100202,0;0.405463
EIL;ASTRA PORTFÖY PARA PİYASASI (TL) FONU;YKB;SATIM;2025-01-08;13680,0;2.666204
EIL;ASTRA PORTFÖY PARA PİYASASI (TL) FONU;YKB;SATIM;2025-01-09;3730,0;2.669538
BGP;AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU;YKB;SATIM;2025-01-09;489,0;3.369088
IPB;İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON;YKB;ALIM;2025-01-15;32760,0;0.610491
GUV;GARANTİ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU;YKB;ALIM;2025-01-15;16238,0;1.231676
AN1;STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON;YKB;ALIM;2025-01-15;154,0;64.576989
YOT;YAPI KREDİ PORTFÖY BORÇLANMA ARAÇLARI FONU;YKB;ALIM;2025-01-15;774,0;25.834795
YSU;YAPI KREDİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON;YKB;ALIM;2025-01-15;90270,0;0.110778
HEH;HEDEF PORTFÖY ALGO EVEREST İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-01-15;16140,0;1.858721
TI7;İŞ PORTFÖY DENGELİ DEĞİŞKEN FON;YKB;SATIM;2025-01-16;271,0;51.087044
TI7;İŞ PORTFÖY DENGELİ DEĞİŞKEN FON;VKF;SATIM;2025-01-16;52,0;51.087044
IEV;İŞ PORTFÖY TAŞIMACILIK DEĞİŞKEN FON;VKF;SATIM;2025-01-17;310,0;3.383317
IEV;İŞ PORTFÖY TAŞIMACILIK DEĞİŞKEN FON;YKB;SATIM;2025-01-17;278,0;3.383317
AFS;AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU;VKF;SATIM;2025-01-17;8595,0;0.225467
IPB;İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON;YKB;ALIM;2025-01-17;8098,0;0.617403
AN1;STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON;YKB;ALIM;2025-01-17;61,0;64.94935
GBV;GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON;YKB;ALIM;2025-01-17;1650,0;6.058326
IPB;İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON;YKB;ALIM;2025-01-29;15600,0;0.640999
TFF;TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU;YKB;ALIM;2025-01-29;407,0;24.547784
NPH;NUROL PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-01-29;4156,0;1.203043
AN1;STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON;YKB;ALIM;2025-01-29;151,0;66.161917
AFA;AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU;YKB;ALIM;2025-01-29;13700,0;0.729911
FBV;İŞ PORTFÖY MODEL SERBEST FON;YKB;ALIM;2025-01-29;3352,0;4.474586
AFT;AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU;YKB;ALIM;2025-01-29;19311,0;0.517836
NRG;NEO PORTFÖY BİRİNCİ PARA PİYASASI FONU;YKB;ALIM;2025-01-30;25143,0;2.941508
HMG;HSBC PYŞ MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON(HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-02-13;320903,0;0.046743
DCB;DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON;YKB;ALIM;2025-02-20;4259,0;2.582612
FBV;İŞ PORTFÖY MODEL SERBEST FON;YKB;ALIM;2025-03-05;3208,0;4.674612
RIK;RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON;YKB;ALIM;2025-03-05;3225,0;3.100215
DCB;DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON;YKB;SATIM;2025-03-10;4259,0;2.638792
BGP;AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU;YKB;SATIM;2025-03-10;2207,0;3.624483
BIO;İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-03-10;2472,0;2.022609
MTH;MT PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-03-10;4362,0;1.146037
HMG;HSBC PYŞ MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON(HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2025-03-11;320903,0;0.046913
BGP;AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU;YKB;SATIM;2025-03-11;2755,0;3.628805
BIO;İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-03-18;2411,0;2.07373
IIH;İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-03-18;188,0;26.562011
MTH;MT PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-03-18;4216,0;1.185715
MAC;MARMARA CAPITAL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-03-20;6818,0;0.586674
BIO;İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-03-20;2134,0;1.873768
NNF;HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-03-20;177,0;16.910702
GSP;AZİMUT PYŞ KAR PAYI ÖDEYEN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-03-20;10835,0;0.369172
MMH;AKTİF PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-03-20;276,0;10.860009
MTH;MT PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-03-20;3642,0;1.098283
YOT;YAPI KREDİ PORTFÖY BORÇLANMA ARAÇLARI FONU;YKB;SATIM;2025-03-21;430,0;26.280536
DCB;DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON;YKB;ALIM;2025-03-26;16549,0;2.688856
YSU;YAPI KREDİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON;YKB;SATIM;2025-03-27;186179,0;0.109722
GUV;GARANTİ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU;YKB;SATIM;2025-03-27;16238,0;1.189259
YOT;YAPI KREDİ PORTFÖY BORÇLANMA ARAÇLARI FONU;YKB;SATIM;2025-03-27;753,0;25.641391
GA1;GARANTİ PORTFÖY BORÇLANMA ARAÇLARI FONU;YKB;SATIM;2025-03-27;10,0;1237.653988
NJR;NUROL PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU;YKB;SATIM;2025-03-27;10852,0;3.17016
DCB;DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON;YKB;ALIM;2025-03-28;38211,0;2.695542
DCB;DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON;YKB;SATIM;2025-04-09;365,0;2.735977
DCB;DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON;YKB;SATIM;2025-04-11;1822,0;2.742793
DCB;DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON;YKB;SATIM;2025-04-14;908,0;2.753055
FDG;FONMAP PORTFÖY BİRİNCİ DEĞİŞKEN FON;YKB;ALIM;2025-06-24;23476,0;1.789061
NNF;HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-07-02;511,0;19.568516
MPP;MEKSA PORTFÖY PRİME SERBEST FON;YKB;ALIM;2025-07-02;2968,0;16.845261
NLE;NUROL PORTFÖY EMLAK SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-07-09;8451,0;1.18322
TBT;TEB PORTFÖY BORÇLANMA ARAÇLARI FONU;YKB;ALIM;2025-07-09;343,0;43.63541
TAU;İŞ PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-07-09;16573,0;0.603364
NJR;NUROL PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU;YKB;ALIM;2025-07-09;8180,0;3.667241
HIM;HEDEF PORTFÖY İKİNCİ MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-07-31;12421,0;2.817759
HDA;HEDEF PORTFÖY DÖRDÜNCÜ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-07-31;15659,0;2.235047
SPN;AZİMUT PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-07-31;4962,0;7.0534
NSH;NUROL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-07-31;23486,0;1.490213
IIH;İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);VKF;SATIM;2025-09-03;30,0;27.197333
IPB;İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON;VKF;SATIM;2025-09-03;19722,0;0.655808
GSP;AZİMUT PYŞ KAR PAYI ÖDEYEN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);VKF;SATIM;2025-09-03;6367,0;0.394396
IIH;İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2025-09-03;1292,0;27.213397
IPB;İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON;YKB;SATIM;2025-09-03;61316,0;0.655808
GSP;AZİMUT PYŞ KAR PAYI ÖDEYEN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2025-09-03;13476,0;0.394396
TI2;İŞ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2025-09-04;280000,0;0.106162
IHK;İŞ PORTFÖY İŞ''TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2025-09-04;2114,0;14.053684
SPN;AZİMUT PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2025-09-04;1353,0;7.312456
AP7;PARDUS PORTFÖY ALGO ETNA İSTATİSTİKSEL ARBİTRAJ SERBEST FON;YKB;ALIM;2025-09-04;21767,0;1.837642
FDG;FONMAP PORTFÖY BİRİNCİ DEĞİŞKEN FON;YKB;ALIM;2025-09-04;14940,0;2.008008
RIK;RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON;YKB;ALIM;2025-09-04;12362,0;4.044515
NRC;NEO PORTFÖY BİRİNCİ DEĞİŞKEN FON;VKF;SATIM;2025-09-05;837,0;9.492127
TI3;İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);VKF;SATIM;2025-09-05;60000,0;0.105008
YAS;YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON);VKF;SATIM;2025-09-05;498,0;12.983725
MMH;AKTİF PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);VKF;SATIM;2025-09-05;261,0;11.886678
NNF;HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2025-09-05;973,0;19.987975
MAC;MARMARA CAPITAL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2025-09-05;13307,0;0.646766
IDH;İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2025-09-05;325,0;10.177729
BIO;İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2025-09-05;7017,0;1.963136
NLE;NUROL PORTFÖY EMLAK SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2025-09-05;8451,0;1.241468
MMH;AKTİF PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2025-09-05;364,0;11.886678
TTE;İŞ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON;YKB;SATIM;2025-09-05;5284,0;1.038538
SAS;AK PORTFÖY SABANCI TOPLULUĞU ŞİRKETLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2025-09-05;4464,0;1.305553
ICZ;AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2025-09-05;1240,0;5.973644
MTH;MT PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2025-09-05;12220,0;1.253821
TAU;İŞ PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2025-09-05;16573,0;0.560874
NPH;NUROL PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2025-09-05;4156,0;1.456717
HKH;HEDEF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2025-09-05;733,0;7.873026
YHZ;YAPI KREDİ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN;YKB;SATIM;2025-09-05;1032,0;5.828469
ONN;AKTİF PORTFÖY AKTİF ONİKS SERBEST (TL) FON;YKB;ALIM;2025-09-05;18953,0;4.484724
MPP;MEKSA PORTFÖY PRİME SERBEST FON;YKB;ALIM;2025-09-10;550,0;19.224472
MPP;MEKSA PORTFÖY PRİME SERBEST FON;YKB;ALIM;2025-09-17;2040,0;19.604828
DFI;ATLAS PORTFÖY SERBEST FON;YKB;ALIM;2025-09-17;26384,0;0.947542
NJR;NUROL PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU;YKB;SATIM;2025-10-06;8180,0;4.088139
TBT;TEB PORTFÖY BORÇLANMA ARAÇLARI FONU;YKB;SATIM;2025-10-06;343,0;46.055216
AN1;STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON;YKB;SATIM;2025-10-14;696,0;77.148243
PKV;PARDUS PORTFÖY KISA VADELİ SERBEST (TL) FON;M;ALIM;2025-10-15;36512,0;1.410304
PKV;PARDUS PORTFÖY KISA VADELİ SERBEST (TL) FON;M;SATIM;2025-10-17;3750,0;1.413782
DFI;ATLAS PORTFÖY SERBEST FON;YKB;SATIM;2025-10-21;26384,0;1.238662
PKV;PARDUS PORTFÖY KISA VADELİ SERBEST (TL) FON;M;ALIM;2025-10-21;54782,0;1.42075
YKT;YAPI KREDİ PORTFÖY ALTIN FONU;YKB;SATIM;2025-10-23;260000,0;0.785462
TTA;İŞ PORTFÖY ALTIN FONU;VKF;SATIM;2025-10-23;10281,0;0.594654
DCB;DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON;YKB;SATIM;2025-11-03;51665,0;3.51242
PKV;PARDUS PORTFÖY KISA VADELİ SERBEST (TL) FON;M;SATIM;2025-11-03;87544,0;1.443268
AFT;AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU;YKB;ALIM;2025-11-04;69815,0;0.859409
ONN;AKTİF PORTFÖY AKTİF ONİKS SERBEST (TL) FON;YKB;SATIM;2025-11-04;18953,0;4.805944
IJA;INVEO PORTFÖY ATAK DEĞİŞKEN FON;VKF;SATIM;2025-11-04;314,0;10.077258
RIK;RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON;YKB;ALIM;2025-11-04;19667,0;4.525308
IJZ;İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON;VKF;SATIM;2025-11-05;913,0;9.900412
GZY;GARANTİ PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON;VKF;SATIM;2025-11-05;349,0;6.382232
IKL;İŞ PORTFÖY SAĞLIK ŞİRKETLERİ KARMA FON;VKF;SATIM;2025-11-05;582,0;7.834091
AP7;PARDUS PORTFÖY ALGO ETNA İSTATİSTİKSEL ARBİTRAJ SERBEST FON;YKB;SATIM;2025-11-28;21767,0;2.010404
ACD;İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON;YKB;SATIM;2025-12-03;2697,0;4.728071
HIM;HEDEF PORTFÖY İKİNCİ MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2026-01-07;12421,0;3.250697
HDA;HEDEF PORTFÖY DÖRDÜNCÜ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2026-01-07;15659,0;2.581878
MTH;MT PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2026-02-04;12905,0;1.937151
RHI;RE-PIE PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2026-02-04;17011,0;1.469614
PHE;PUSULA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2026-02-04;26371,0;1.895986
MTH;MT PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2026-02-05;5178,0;1.931127
PHE;PUSULA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2026-02-05;5249,0;1.904818
MTH;MT PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2026-02-06;5239,0;1.908424
RHI;RE-PIE PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2026-02-06;6964,0;1.435801
PHE;PUSULA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2026-02-06;5201,0;1.922399
PHE;PUSULA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2026-02-12;19657,0;2.034847
TGE;İŞ PORTFÖY EMTİA YABANCI BYF FON SEPETİ FONU;YKB;ALIM;2026-02-13;83713,0;0.238909
URA;ATA PORTFÖY ENERJİ DEĞİŞKEN FON;YKB;ALIM;2026-02-17;8239,0;1.820514
BRF;DENİZ PORTFÖY BİRİNCİ FON SEPETİ FONU;YKB;ALIM;2026-02-18;21323,0;1.406891
TGE;İŞ PORTFÖY EMTİA YABANCI BYF FON SEPETİ FONU;YKB;ALIM;2026-02-18;43289,0;0.231001
HVT;ALLBATROSS PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU;YKB;ALIM;2026-02-24;1551,0;3.867089
MPL;MT PORTFÖY PARA PİYASASI (TL) FONU;YKB;ALIM;2026-02-24;3546,0;1.691676
HVT;ALLBATROSS PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU;YKB;ALIM;2026-03-02;10271,0;3.894282
MPL;MT PORTFÖY PARA PİYASASI (TL) FONU;YKB;ALIM;2026-03-02;23477,0;1.703733
HVT;ALLBATROSS PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU;YKB;SATIM;2026-03-05;11822,0;3.90515
MPL;MT PORTFÖY PARA PİYASASI (TL) FONU;YKB;SATIM;2026-03-09;27023,0;1.716818
TGE;İŞ PORTFÖY EMTİA YABANCI BYF FON SEPETİ FONU;YKB;SATIM;2026-06-18;127002,0;0.280047
HVK;HEDEF PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU;YKB;SATIM;2026-06-24;10986,0;5.393371
HEH;HEDEF PORTFÖY ALGO EVEREST İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2026-06-25;16140,0;3.130685
NSH;NUROL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2026-06-25;23486,0;2.076568
SPN;AZİMUT PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON);YKB;SATIM;2026-06-25;6315,0;9.555607
GZY;GARANTİ PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON;YKB;SATIM;2026-06-26;124,0;7.73441
NRG;NEO PORTFÖY BİRİNCİ PARA PİYASASI FONU;YKB;SATIM;2026-06-30;25143,0;5.272008
BGP;AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU;YKB;SATIM;2026-06-30;4830,0;6.179122
